"","Model","n.wai.missing","n.wbc.missing","Strong1","Strong2","Strong3","Strong4","Strong5"
"168","LASSO",0,0,6.54387450009479,4.89445775615037,4.99401222853797,4.50646543536475,4.95874819045957
"169","Stepwise",0,0,6.5887307793813,5.06125918284985,5.13038401715994,4.95441327305427,5.43934135336688
"170","LASSO",0,0,6.53887149359572,4.82290012692378,4.89694156211983,4.78038282040063,5.3112188548186
"171","Stepwise",0,0,6.2810730911162,5.25189764396146,5.13795259409015,5.06536483593581,4.88008832194845
"172","LASSO",0,0,6.52573991498127,5.09859222242836,4.98336467768704,5.06269115146473,4.78610088403202
"173","Stepwise",0,0,6.43398269878542,5.13241850439923,5.00912124467021,5.02026027016925,4.94571355071868
"174","LASSO",0,0,6.44450398912178,4.90339431639718,4.90473458302759,4.87017320078352,4.77974166473648
"175","Stepwise",0,0,7.15020018227545,4.83146622140645,4.92068909521561,4.80597450652638,4.87617154086277
"176","LASSO",0,0,6.7825498381085,4.68708728123521,4.67645335421707,4.60978413802996,4.69812000810279
"177","Stepwise",0,0,6.42386821372647,4.75489940842612,4.99527896912357,4.87628971747795,5.17838391232117
"178","LASSO",0,0,6.68057591008633,4.72384697674774,4.92680013882594,4.73375886865611,5.01978876161288
"179","Stepwise",0,0,6.98799974546253,4.84723819712111,4.86550567090237,4.87808407677543,5.33177229132395
"180","LASSO",0,0,6.394828735964,4.66080580770161,4.65501677538145,4.66242832190623,5.04268655651961
"181","Stepwise",0,0,6.42662741263327,5.04180354606663,4.79782750922435,5.0242507032982,4.67400723983973
"182","LASSO",0,0,6.075238139542,4.74681071610761,4.71606993387128,4.97562606798783,4.51016830956219
"183","Stepwise",0,0,6.30106878300585,5.41938626318986,5.22727040121917,4.87994390569585,5.09879296278961
"184","LASSO",0,0,6.25376488406698,5.102018867938,4.93700041628953,4.69333322818319,4.88063412863053
"185","Stepwise",0,0,6.508024146065,5.16034805486193,4.7825939333352,4.8884309275773,4.78820996900183
"186","LASSO",0,0,6.21832059774651,4.84870451151556,4.57539203060535,4.61948138334812,4.58329962705971
"187","Stepwise",0,0,6.45145023940435,4.94945609793918,4.93541039898966,4.99387791013602,4.9078544596128
"188","LASSO",0,0,6.50042639619966,4.75288859714329,4.85943618269052,4.80334614398581,4.68798766416602
"189","Stepwise",0,0,6.71820386000671,5.01768465154513,4.818983406172,5.16532672168301,4.91228703950819
"190","LASSO",0,0,6.57565810500702,4.7098259093935,4.62039313331121,5.00853468914009,4.72425285573238
"191","Stepwise",0,0,6.60101748483272,5.09033274006671,4.91169523151661,5.01630019497395,4.97174003647283
"192","LASSO",0,0,6.32692362585926,4.88414209285452,4.85681827378759,4.69871856364763,4.80763910614465
"193","Stepwise",0,0,6.93162040674553,4.98225760699267,5.02572377423334,5.1936378761333,4.94855197863242
"194","LASSO",0,0,6.4802243962678,4.81833152233414,4.74805114878556,4.8908163683493,4.76885472276715
"195","Stepwise",0,0,6.64330665011193,5.11790853613617,5.06743986756054,4.81844741936081,4.70167256644904
"196","LASSO",0,0,6.50491742198985,4.86086511847422,4.87648566067309,4.73065517922335,4.64271120488805
"197","Stepwise",0,0,6.71632436959412,5.18222499123052,4.85684124644276,5.41887106220729,5.06487106927543
"198","LASSO",0,0,6.34659437105808,4.85250821471237,4.63614385994038,5.26498183339364,4.92556639148538
"199","Stepwise",0,0,6.5469611854716,4.96616816870207,4.96216278405486,5.21270811880343,5.0607251413949
"200","LASSO",0,0,6.76150627242904,4.88687269954364,4.59612253452374,4.99583934641343,4.75668693532283
"201","Stepwise",1,0,5.79180691243039,4.96130393780149,5.05484175845019,5.18546743110783,5.03129713860767
"202","LASSO",1,0,5.87491576680679,4.47102227679239,4.96376605985999,4.78370961946981,4.78599331401534
"203","Stepwise",1,0,6.72448101649477,5.21033682098731,5.06722845542268,5.01312267566217,4.74678192255474
"204","LASSO",1,0,6.57114581658397,5.03348265434349,5.00683384855495,4.75155509776389,4.63094001473833
"205","Stepwise",1,0,6.70822386208857,4.81682812776259,5.14564868164804,5.17432628197935,5.04006237272618
"206","LASSO",1,0,6.4584317803165,4.61901704115801,4.85113756353746,4.92237453763397,4.71809477340126
"207","Stepwise",1,0,6.31086587670086,5.00430576336904,5.11134095453908,4.93545538283383,4.99751838023551
"208","LASSO",1,0,6.53874440750057,4.8563076466594,4.89326852132966,4.86443072944083,4.93975268524628
"209","Stepwise",1,0,6.24203673138682,5.11179331492061,4.994879718453,5.10312235927491,4.96455175487508
"210","LASSO",1,0,6.18412290950198,4.8868541465665,4.78454516211907,4.91185854991128,4.7760619975339
"211","Stepwise",1,0,6.35997822750948,5.02565953679838,4.95125801941908,4.71852479428085,4.96520826024568
"212","LASSO",1,0,6.39652387121621,4.86237771500481,4.75851535822449,4.74831943247265,4.73412808772933
"213","Stepwise",1,0,6.72599655939123,5.14703508766932,5.29020130958696,5.033043071082,5.20836980955854
"214","LASSO",1,0,6.8395493940199,4.93506677821952,4.90642189950495,4.74678332583956,4.98399745644129
"215","Stepwise",1,0,6.30572411347075,5.07770948214753,4.98743969903533,5.47261184084167,4.84240293375356
"216","LASSO",1,0,6.30108040989845,4.90899955958582,4.82862224922159,5.22714000407099,4.7611483031981
"217","Stepwise",1,0,6.28390934312817,4.8694800434698,5.01311307773537,5.01241630016042,5.24074587427134
"218","LASSO",1,0,6.19256751501234,4.80485773547317,4.64790017638617,4.85399163209952,4.96297832082354
"219","Stepwise",1,0,6.24370753459774,4.97210668586195,5.15109244876133,5.04480170463231,5.10362781332373
"220","LASSO",1,0,6.47496670812456,4.7893378715362,4.93409517272481,4.81875914841906,4.72863335735947
"221","Stepwise",1,0,6.25084114497914,4.93502435503071,5.28204093354192,4.818896551378,5.00100507445363
"222","LASSO",1,0,6.22769162972806,4.9628333715829,4.97058396899877,4.73310907459081,4.93057873227194
"223","Stepwise",1,0,6.60303031934979,4.95971795668976,5.03091238888554,4.96778900883536,5.28344359463534
"224","LASSO",1,0,6.39687807610254,4.85088218025057,4.77620712451136,4.7676811552468,5.15035090738831
"225","Stepwise",1,0,6.98371939860078,5.10558265546532,4.98459033795992,5.14032325996963,5.04275335472698
"226","LASSO",1,0,6.83006151055953,4.76634386959288,4.79149989112111,4.82214865684591,4.99370773686804
"227","Stepwise",1,0,6.82558620306587,5.1137237439226,5.05364636987535,4.70757936802401,5.02445979554827
"228","LASSO",1,0,6.71146912556657,4.81759006797708,4.95775079916996,4.70206125623065,4.70051203684152
"229","Stepwise",1,0,6.46579278591808,5.01463044057227,4.87431469772985,5.20326992723869,4.85680525741503
"230","LASSO",1,0,6.36202577371882,4.91220074028609,4.70320138326285,4.97625203921732,4.81308871062127
"231","Stepwise",1,0,6.40959451242674,4.8561187521163,5.16284201580483,5.29940006473541,4.85108979271643
"232","LASSO",1,0,6.50204076399869,4.6830789897069,4.9875764220526,5.1934557335457,4.62969053935411
"233","Stepwise",1,0,5.38667863623032,5.07414033546184,4.91141595908785,5.17204372692252,4.92826956238587
"234","LASSO",1,0,6.22256128721533,4.97249455141136,4.92955074228854,5.12645568138444,4.82915129818121
"235","Stepwise",1,0,6.62775375565554,4.84789584803476,4.7751172963637,4.95632983813182,5.10346853288965
"236","LASSO",1,0,6.53822167023801,4.77920805044003,4.56258929091491,4.69601894837234,4.80950932163494
"237","Stepwise",1,0,6.66427710838042,4.73091634925775,4.93686873833619,5.08173356163212,4.90975138285968
"238","LASSO",1,0,6.37033789488391,4.54838583079646,4.86527512737637,4.86759955226223,4.75491064445585
"239","Stepwise",1,0,6.89726991032627,4.86997806378366,4.90054494864158,4.86353083235259,5.25164670446519
"240","LASSO",1,0,6.38407378684834,4.64636004582685,4.67909826966547,4.44050232705809,4.87458717772752
"241","Stepwise",1,0,6.43026354544076,5.16878606803974,5.49564858504357,4.93829602651732,4.90191741728851
"242","LASSO",1,0,6.45107924343063,4.75445552649265,5.41615968901215,4.57003282865576,4.78763466852136
"243","Stepwise",1,0,6.47553289811799,5.08112106678592,4.97142187985179,5.03625464334268,4.92252833645543
"244","LASSO",1,0,6.43133318758103,4.95994963780744,4.70510047360212,4.94853502891791,4.6869177607452
"245","Stepwise",1,0,6.54919592803004,4.79232299266777,5.2563726786388,5.22403612926333,5.03442528297406
"246","LASSO",1,0,6.3760981825657,4.86158714920494,4.93289005402225,5.07731484832185,4.84508190195284
"247","Stepwise",1,0,6.7700371293295,5.41689637548924,5.08784091832588,4.90925448140237,5.02966704126132
"248","LASSO",1,0,6.34063079189198,4.9888491610472,4.88329918211906,4.73662349055653,4.62556020940382
"249","Stepwise",1,0,5.52633786810572,4.48808637450721,5.23951779040855,5.15857563122881,4.88601034444566
"250","LASSO",1,0,6.25317723341649,4.38237345585574,5.02756400539527,4.9367979941776,4.85371985955418
"251","Stepwise",1,0,5.81496177859356,5.16863284322678,4.82385109805699,5.19520288457432,4.77440066282495
"252","LASSO",1,0,6.26921939901247,5.00524762521949,4.58971316153913,5.01058958913004,4.77980379721529
"253","Stepwise",1,0,6.95675921132502,5.08452940680077,4.98984833730918,4.89615540300366,4.61199808048423
"254","LASSO",1,0,6.72057933528465,4.77565822228711,4.93720845962441,4.61192869653176,4.72113083108512
"255","Stepwise",1,0,6.11932740442924,4.84490413790629,4.64247315650938,4.68269832514481,4.74434640674904
"256","LASSO",1,0,6.31025935509275,4.62972029714953,4.36674890255169,4.51837070640131,4.77669605929614
"257","Stepwise",1,0,6.52436839559534,4.80280937198803,5.2139828417224,5.025362182959,4.95453275400011
"258","LASSO",1,0,6.48950355380899,4.63773574742031,4.96130466519844,4.85524263781146,4.81810035788812
"259","Stepwise",1,0,6.5413474275793,5.02717706336152,4.84017047547795,5.0169204729625,4.99510086312714
"260","LASSO",1,0,6.53043211796639,5.00972207459289,4.57953663687534,4.88315610816528,4.70309576069783
"261","Stepwise",1,0,6.46559926215873,4.98339161533822,5.0885793343753,4.91818156701258,5.4454528688625
"262","LASSO",1,0,6.1969650172676,4.49071126162411,4.81550711387926,4.84745915631364,5.09041741186949
"263","Stepwise",1,0,6.24788939927885,5.41237408743291,4.92526024891174,5.04296603216874,5.20686610137536
